ticker,price,market_cap,period_end,revenue_ttm,revenue_ttm_yoy_pct,fcf_ttm,fcf_ttm_yoy_pct,fcf_margin_ttm_pct,cash,debt,net_debt,fcf_yield,net_debt_to_fcf_ttm
UBER,72.77,151203716825.0,2025-12-31,52017000000.0,18.27959434262585,9763000000.0,41.59535895576505,18.768864025222523,7736000000.0,13470000000.0,5734000000.0,0.06456851858542267,0.5873194714739322
LYFT,13.71,5475135662.0,2025-12-31,6316261000.0,9.164250496369174,1148852000.0,49.92841901069938,18.1887987212688,1132009000.0,1276733000.0,144724000.0,0.20983078245413528,0.12597271014891387
DASH,173.38,74726527905.0,2025-09-30,12635000000.0,24.458234830575254,1992000000.0,11.910112359550551,15.765730114760585,3279000000.0,3257000000.0,-22000000.0,0.026657200004427263,-0.01104417670682731
